book_id,book_authors,book_desc,book_edition,book_format,book_isbn,book_ pages,book_rating,book_rating_count,book_review_count,book_title,genres,image_url,book_ price
197,Michael Ende|Ralph Manheim|Roswitha Quadflieg|Miguel Sáenz,,,Hardcover,9.78E+12,396,4.18,136309,5016,The Neverending Story,Fantasy|Classics|Fiction|Young Adult|Childrens,https://images.gr-assets.com/books/1327871159l/27712.jpg,396
198,Ernest Hemingway,"A Farewell to Arms is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield - the weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. Ernest Hemingway famously said that he rewrote his ending to A Farewell to Arms thirty-nine times to get the words right.",,Paperback,9.78E+12,293,3.79,226697,7987,A Farewell to Arms,Classics|Fiction|Historical|Historical Fiction|War|Literature,https://images.gr-assets.com/books/1313714836l/10799.jpg,293
199,Charles Dickens|Jeremy Tambling,"David Copperfield is the story of a young man’s adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr. Murdstone; his formidable aunt, Betsey Trotwood; the eternally humble yet treacherous Uriah Heep; frivolous, enchanting Dora; and the magnificently impecunious Micawber, one of literature’s great comic creations.In David Copperfield—the novel he described as his “favorite child”—Dickens drew revealingly on his own experiences to create one of his most exuberant and enduringly popular works, filled with tragedy and comedy in equal measure.",,Paperback,9.78E+12,882,3.97,177486,5226,David Copperfield,Classics|Fiction|Literature|Historical|Historical Fiction,https://images.gr-assets.com/books/1461452762l/58696.jpg,882
200,Gregory Maguire|Douglas Smith,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.",,Paperback,9.78E+12,406,3.52,538651,23668,Wicked: The Life and Times of the Wicked Witch of the West,Fantasy|Fiction|Adult,https://images.gr-assets.com/books/1437733293l/37442.jpg,406
201,Jay Asher,"You can’t stop the future. You can’t rewind the past.The only way to learn the secret . . . is to press play.Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker–his classmate and crush–who committed suicide two weeks earlier. Hannah’s voice tells him that there are thirteen reasons why she decided to end her life. Clay is one of them. If he listens, he’ll find out why. Clay spends the night crisscrossing his town with Hannah as his guide. He becomes a firsthand witness to Hannah’s pain, and as he follows Hannah’s recorded words throughout his town, what he discovers changes his life forever.",,Hardcover,9.78E+12,288,3.98,655965,48562,Thirteen Reasons Why,Young Adult|Contemporary|Fiction|Realistic Fiction,https://images.gr-assets.com/books/1333822506l/1217100.jpg,288
202,George R.R. Martin,"An alternate cover for this isbn can be found here.Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. Joffrey sits on the Iron Throne, the uneasy ruler of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. Young Robb still rules the North from the fortress of Riverrun. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords...",,Mass Market Paperback,9.78E+12,1177,4.54,576139,20556,A Storm of Swords,Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy,https://images.gr-assets.com/books/1497931121l/62291.jpg,1177
203,James Clavell,"Librarian's note: An alternate cover edition can be found hereA bold English adventurer. An invincible Japanese warlord. A beautiful woman torn between two ways of life, two ways of love. All brought together in an extraordinary saga of a time and a place aflame with conflict, passion, ambition, lust, and the struggle for power...",,Paperback,9.78E+12,1152,4.38,127412,3514,Shōgun,Historical|Historical Fiction|Fiction|Cultural|Japan|Historical|Classics,https://images.gr-assets.com/books/1397228842l/402093.jpg,1152
204,Philippa Gregory,"Two sisters competing for the greatest prize: The love of a kingWhen Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.A rich and compelling novel of love, sex, ambition, and intrigue, The Other Boleyn Girl introduces a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamourous court in Europe and survived by following her heart.",First Touchstone Edition 2003,Paperback,9.78E+12,661,4.05,419008,16309,The Other Boleyn Girl,Historical|Historical Fiction|Fiction|Historical|Romance,https://images.gr-assets.com/books/1355932638l/37470.jpg,661
205,Jonathan Safran Foer,"Nine-year-old Oskar Schell is an inventor, amateur entomologist, Francophile, letter writer, pacifist, natural historian, percussionist, romantic, Great Explorer, jeweller, detective, vegan, and collector of butterflies. When his father is killed in the September 11th attacks on the World Trade Centre, Oskar sets out to solve the mystery of a key he discovers in his father's closet. It is a search which leads him into the lives of strangers, through the five boroughs of New York, into history, to the bombings of Dresden and Hiroshima, and on an inward journey which brings him ever closer to some kind of peace.",,Paperback,9.78E+12,326,3.97,346950,22110,Extremely Loud and Incredibly Close,Fiction|Contemporary|Historical|Historical Fiction,https://images.gr-assets.com/books/1327879967l/4588.jpg,326
206,Thomas Keneally,"In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser, a heavy drinker and a bon viveur, but to them he became a saviour. This is the extraordinary story of Oskar Schindler, who risked his life to protect Jews in Nazi-occupied Poland and who was transformed by the war into a man with a mission, a compassionate angel of mercy.",,Paperback,9.78E+12,429,4.34,117770,1846,Schindler's List,History|Nonfiction|Classics|World War II|Holocaust|War,https://images.gr-assets.com/books/1348163457l/375013.jpg,429
207,Richelle Mead,"This book has Alternate Cover Editions for this ISBN [ACE]
ACE #1
They come first.My vision was growing dimmer, the blackness and ghosts closing in. I swore it was like I could hear Robert whispering in my ear: The world of the dead won't give you up a second time. Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided then that if the two people I loved most were safe, I could leave this world.The dead could finally have me.Rose Hathaway has always played by her own rules. She broke the law when she ran away from St. Vladimir's Academy with her best friend and last surviving Dragomir princess, Lissa. She broke the law when she fell in love with her gorgeous, off-limits instructor, Dimitri. And she dared to defy Queen Tatiana, leader of the Moroi world, risking her life and reputation to protect generations of dhampir guardians to come.Now the law has finally caught up with Rose - for a crime she didn't even commit. She's in prison for the highest offense imaginable: the assassination of a monarch. She'll need help from both Dimitri and Adrian to find the one living person who can stall her execution and force the Moroi elite to acknowledge a shocking new candidate for the royal throne: Vasilisa Dragomir.But the clock on Rose's life is running out. Rose knows in her heart the world of the dead wants her back...and this time she is truly out of second chances. The big question is, when your whole life is about saving others, who will save you?Join Rose, Dimitri, Adrian, and Lissa in Last Sacrifice, the epic, unforgettable finale to Richelle Mead's international #1 bestselling Vampire Academy series.",1st Edition,Hardcover,9.78E+12,594,4.41,239272,10734,Last Sacrifice,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance,https://images.gr-assets.com/books/1319850978l/6527740.jpg,594
208,Lauren Kate,"What if the person you were meant to be with could never be yours?17-year-old Lucinda falls in love with a gorgeous, intelligent boy, Daniel, at her new school, the grim, foreboding Sword & Cross . . . only to find out that Daniel is a fallen angel, and that they have spent lifetimes finding and losing one another as good & evil forces plot to keep them apart. Get ready to fall . . .",1st Edition,Hardcover,9.78E+12,452,3.73,437542,18650,Fallen,Young Adult|Fantasy|Paranormal|Angels|Fantasy|Paranormal|Romance,https://images.gr-assets.com/books/1440619649l/6487308.jpg,452
209,Philip Pullman|Peter Bailey,"The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in one volume perfect for any fan or newcomer to this modern fantasy classic series.These thrilling adventures tell the story of Lyra and Will—two ordinary children on a perilous journey through shimmering haunted otherworlds. They will meet witches and armored bears, fallen angels and soul-eating specters. And in the end, the fate of both the living—and the dead—will rely on them.Phillip Pullman’s spellbinding His Dark Materials trilogy has captivated readers for over twenty years and won acclaim at every turn. It will have you questioning everything you know about your world and wondering what really lies just out of reach.",,Capa comum,9.78E+12,1088,4.26,109323,4762,His Dark Materials,Fantasy|Young Adult|Fiction,https://images.gr-assets.com/books/1442329494l/18116.jpg,1088
210,Frances Hodgson Burnett|Nancy Bond,"Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess, one of the best-loved stories in all of children's literature. This unique and fully annotated edition appends excerpts from Frances Hodgson Burnett's original 1888 novella Sara Crewe and the stage play that preceded the novel, as well as an early story, ""Behind the White Brick,"" allowing readers to see how A Little Princess evolved. In his delightful introduction, U. C. Knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of Victorian literature, and shows it to be an exceptionally rich and resonant novel.",Penguin Classics,Paperback,9.78E+12,242,4.19,245610,5861,A Little Princess,Classics|Fiction|Childrens|Young Adult,https://images.gr-assets.com/books/1327868556l/3008.jpg,242
211,John Kennedy Toole|Walker Percy,"Alternate cover for this ISBN can be found here""A green hunting cap squeezed the top of the fleshy balloon of a head. The green earflaps, full of large ears and uncut hair and the fine bristles that grew in the ears themselves, stuck out on either side like turn signals indicating two directions at once. Full, pursed lips protruded beneath the bushy black moustache and, at their corners, sank into little folds filled with disapproval and potato chip crumbs.""Meet Ignatius J. Reilly, the hero of John Kennedy Toole's tragicomic tale, A Confederacy of Dunces. This 30-year-old medievalist lives at home with his mother in New Orleans, pens his magnum opus on Big Chief writing pads he keeps hidden under his bed, and relays to anyone who will listen the traumatic experience he once had on a Greyhound Scenicruiser bound for Baton Rouge. (""Speeding along in that bus was like hurtling into the abyss."") But Ignatius's quiet life of tyrannizing his mother and writing his endless comparative history screeches to a halt when he is almost arrested by the overeager Patrolman Mancuso--who mistakes him for a vagrant--and then involved in a car accident with his tipsy mother behind the wheel. One thing leads to another, and before he knows it, Ignatius is out pounding the pavement in search of a job.Over the next several hundred  , our hero stumbles from one adventure to the next. His stint as a hotdog vendor is less than successful, and he soon turns his employers at the Levy Pants Company on their heads. Ignatius's path through the working world is populated by marvelous secondary characters: the stripper Darlene and her talented cockatoo; the septuagenarian secretary Miss Trixie, whose desperate attempts to retire are constantly, comically thwarted; gay blade Dorian Greene; sinister Miss Lee, proprietor of the Night of Joy nightclub; and Myrna Minkoff, the girl Ignatius loves to hate. The many subplots that weave through A Confederacy of Dunces are as complicated as anything you'll find in a Dickens novel, and just as beautifully tied together in the end. But it is Ignatius--selfish, domineering, and deluded, tragic and comic and larger than life--who carries the story. He is a modern-day Quixote beset by giants of the modern age. His fragility cracks the shell of comic bluster, revealing a deep streak of melancholy beneath the antic humor. John Kennedy Toole committed suicide in 1969 and never saw the publication of his novel. Ignatius Reilly is what he left behind, a fitting memorial to a talented and tormented life.",,Paperback,9.78E+12,416,3.89,202695,13028,A Confederacy of Dunces,Fiction|Classics|Humor|Literature,https://images.gr-assets.com/books/1436747103l/310612.jpg,416
212,Ernest Hemingway,"The quintessential novel of the Lost Generation, The Sun Also Rises is one of Ernest Hemingway's masterpieces, and a classic example of his spare but powerful writing style. A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway's most unforgettable characters: Jake Barnes and Lady Brett Ashley. The story follows the flamboyant Brett and the hapless Jake as they journey from the wild nightlife of 1920s Paris to the brutal bullfighting rings of Spain with a motley group of expatriates. It is an age of moral bankruptcy, spiritual dissolution, unrealized love, and vanishing illusions. First published in 1926, The Sun Also Rises helped to establish Hemingway as one of the greatest writers of the twentieth century.",,Paperback,,189,3.82,326894,10906,The Sun Also Rises,Classics|Fiction|Literature|Novels,https://images.gr-assets.com/books/1509802323l/3876.jpg,189
