book_id,book_authors,book_desc,book_edition,book_format,book_isbn,book_ pages,book_rating,book_rating_count,book_review_count,book_title,genres,image_url,book_ price
165,Richelle Mead,"Rose Hathaway's life will never be the same. The recent attack on St. Vladimir's Academy devastated the entire Moroi world. Many are dead. And, for the few victims carried off by Strigoi, their fates are even worse. A rare tattoo now adorns Rose's neck, a mark that says she's killed far too many Strigoi to count. But only one victim matters ... Dimitri Belikov. Rose must now choose one of two very different paths: honoring her life's vow to protect Lissa—her best friend and the last surviving Dragomir princess—or, dropping out of the Academy to strike out on her own and hunt down the man she loves. She'll have to go to the ends of the earth to find Dimitri and keep the promise he begged her to make. But the question is, when the time comes, will he want to be saved? Now, with everything at stake—and worlds away from St. Vladimir's and her unguarded, vulnerable, and newly rebellious best friend—can Rose find the strength to destroy Dimitri? Or, will she sacrifice herself for a chance at eternal love?",,Hardcover,9.78E+12,503,4.35,256884,9253,Blood Promise,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance,https://images.gr-assets.com/books/1442530605l/5996153.jpg,503
166,Wilson Rawls,"My eyes were wide, my throat dry, and my heart thumping. One judge stopped in front of Little Ann. My heart stopped, too. Reaching over, he patted her on the head.Turning to me, he asked, ""Is this your dog?""I couldn't speak. I just nodded my head.He said, ""She's a beautiful hound.""He walked on down the line. My heart started beating again.There were eight dogs left. Little Ann was still holding her own. Then there were four. I was ready to cry.--back cover","Delacorte Edition, US/CAN",Hardcover,9.78E+12,212,4.05,300435,9604,Where the Red Fern Grows,Classics|Fiction|Young Adult|Childrens,https://images.gr-assets.com/books/1320521459l/526787.jpg,212
167,Pearl S. Buck,"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.Hard times come upon Wang Lung and his family when flood and drought force them to seek work in the city. The working people riot, breaking into the homes of the rich and forcing them to flee. When Wang Lung shows mercy to one noble and is rewarded, he begins to rise in the world, even as the House of Hwang falls.",(Enriched Classics),Paperback,9.78E+12,418,3.98,205238,8937,The Good Earth,Classics|Fiction|Historical|Historical Fiction|Cultural|China|Literature,https://images.gr-assets.com/books/1312497600l/1078.jpg,418
168,Thomas Hardy|Margaret R. Higonnet|Tim Dolin,"When Tess Durbeyfield is driven by family poverty to claim kinship with the wealthy D'Urbervilles and seek a portion of their family fortune, meeting her 'cousin' Alec proves to be her downfall. A very different man, Angel Clare, seems to offer her love and salvation, but Tess must choose whether to reveal her past or remain silent in the hope of a peaceful future.",,Paperback,9.78E+12,518,3.78,211670,7431,Tess of the D'Urbervilles,Classics|Fiction|Literature|Romance,https://images.gr-assets.com/books/1434302708l/32261.jpg,518
169,William Shakespeare|Barbara A. Mowat|Paul Werstine|Catherine Belsey,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",Folger Shakespeare Library,Paperback,9.78E+12,298,3.94,395736,6537,A Midsummer Night's Dream,Classics|Plays|Fiction|Drama|Fantasy,https://images.gr-assets.com/books/1327874534l/1622.jpg,298
170,Kahlil Gibran,"Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.",,Paperback,9.78E+12,127,4.23,182895,7251,The Prophet,Poetry|Philosophy|Classics|Fiction|Spirituality|Religion,https://images.gr-assets.com/books/1355046521l/2547.jpg,127
171,Marion Zimmer Bradley,"Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....",,Paperback,9.78E+12,884,4.12,173459,6066,The Mists of Avalon,Fantasy|Fiction|Historical|Historical Fiction|Mythology|Arthurian|Science Fiction Fantasy,https://images.gr-assets.com/books/1388857089l/402045.jpg,884
172,Joseph Conrad,"Dark allegory describes the narrator's journey up the Congo River and his meeting with, and fascination by, Mr. Kurtz, a mysterious personage who dominates the unruly inhabitants of the region. Masterly blend of adventure, character development, psychological penetration. Considered by many Conrad's finest, most enigmatic story.",,Paperback,9.78E+12,188,3.42,347389,11294,Heart of Darkness,Classics|Fiction|Literature|Cultural|Africa|Academic|School,https://images.gr-assets.com/books/1392799983l/4900.jpg,188
173,Terry Pratchett|Neil Gaiman,"An alternative cover for this ISBN can be found hereAccording to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies, written in 1655, before she exploded), the world will end on a Saturday. Next Saturday, in fact. Just before dinner.So the armies of Good and Evil are amassing, Atlantis is rising, frogs are falling, tempers are flaring. Everything appears to be going according to Divine Plan. Except a somewhat fussy angel and a fast-living demon—both of whom have lived amongst Earth's mortals since The Beginning and have grown rather fond of the lifestyle—are not actually looking forward to the coming Rapture.And someone seems to have misplaced the Antichrist . . . ",,Mass Market Paperback,9.78E+12,412,4.25,378490,16449,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Fantasy|Fiction|Humor|Fantasy|Urban Fantasy,https://images.gr-assets.com/books/1392528568l/12067.jpg,412
174,Amy Tan,"In 1949, four Chinese women, recent immigrants to San Francisco, begin meeting to eat dim sum, play mahjong, and talk. United in shared loss and hope, they call themselves the Joy Luck Club. With wit and wisdom, Amy Tan examines the sometimes painful, often tender, and always deep connection between these four women and their American-born daughters. As each reveals her secrets, trying to unravel the truth about her life, the strings become more tangled, more entwined...",,Paperback,9.78E+12,288,3.91,552197,7521,The Joy Luck Club,Fiction|Historical|Historical Fiction|Classics|Cultural|China|Contemporary,https://images.gr-assets.com/books/1304978653l/7763.jpg,288
